FORMAT SAMPLE,Unnamed: 1,Unnamed: 2,100,0.22500225002250024,100.1,0.22500225002250024.1,100.2,0.22500225002250024.2,0.05,100.3,0.22500225002250024.3,0.05.1,1.000009000090001,100.4,0.05.2,,nan.1
19,F,09873,56,0.12600126001260012,22,0.04950049500495005,52,0.11700117001170011,0.03,39,0.08775087750877508,0.03,0.4402538025380254,F,,,
20,F,09871,85,0.19125191251912518,36,0.08100081000810008,84,0.1890018900189002,0.05,49,0.11025110251102511,0.04,0.6615057150571506,C,,,
21,F,11343,94,0.2115021150211502,81,0.1822518225182252,92,0.2070020700207002,0.05,70,0.15750157501575016,0.03,0.8382575825758257,B,,,
22,F,09740,91,0.2047520475204752,49,0.11025110251102511,89,0.2002520025200252,0.05,64,0.14400144001440016,0.04,0.7492565925659258,C,,,
23,F,09739,79,0.17775177751777518,38,0.08550085500855009,73,0.16425164251642516,0.05,54,0.12150121501215012,0.04,0.6390054900549006,D,,,
24,F,12076,96,0.21600216002160022,87,0.1957519575195752,95,0.2137521375213752,0.05,80,0.18000180001800017,0.05,0.9055080550805509,A,,,
25,F,09647,95,0.2137521375213752,52,0.11700117001170011,91,0.2047520475204752,0.05,59,0.13275132751327515,0.03,0.7482566825668256,C,,,
26,F,10527,91,0.2047520475204752,65,0.14625146251462515,88,0.1980019800198002,0.05,78,0.17550175501755017,0.04,0.8145072450724508,B,,,
"Mid-Term = 45% ;    Final = 45%,          C.P. (Class Participation) = 10%,       A= 100%-90%, B=89%-80%, C= 79%-65%, D= 64%-50%, F= Under 50%  ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ENGLISH FOR HIGH SCHOOL RESULT - TERM:  01 October 2019 ( 01 October 2019 - 31 December 2019 ) ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Room:        Tamorn                                                                                                                   ,,,,,,,,Level :  EHSS-6B,,,,,,,,,
Instructors: Mr. Doung Sokunt Wat & Mr. Paul Franks,,,,,,,,Time: 6:00-7:30 PM,,,,,,,,,
,,,,,,,,,,,,,,,,,
No.,Gender,ID,Mid-term (45%),,,,Final (45%),,,,,,Total,Grade,Deduction and give reason,,
,,,Ventures  2B,,Project 3B,,Ventures  2B,,C.P.5%,Project 3B,,C.P.5%,,,,,
1,F,11097,95,0.2137521375213752,83,0.18675186751867517,99,0.22275222752227522,0.05,66,0.14850148501485014,0.04,0.8617577175771757,B,,,
2,M,10012,70,0.15750157501575016,37,0.08325083250832509,69,0.15525155251552517,0.05,42,0.0945009450094501,0.04,0.5805049050490505,D,,,
3,F,11410,94,0.2115021150211502,87,0.1957519575195752,94,0.2115021150211502,0.05,70,0.15750157501575016,0.05,0.8762577625776258,B,,,
4,F,09886,83,0.18675186751867517,50,0.11250112501125012,86,0.1935019350193502,0.05,44,0.0990009900099001,0.04,0.6817559175591756,C, ,,
5,F,11334,97,0.2182521825218252,80,0.18000180001800017,100,0.22500225002250024,0.04,66,0.14850148501485014,0.05,0.8617577175771758,B,,,
6,F,06338,79,0.17775177751777518,37,0.08325083250832509,76,0.17100171001710018,0.03,42,0.0945009450094501,0.05,0.6065052650526506,D,,,
7,M,11727,96,0.21600216002160022,84,0.1890018900189002,91,0.2047520475204752,0.05,70,0.15750157501575016,0.05,0.8672576725767258,B,,,
8,F,11237,85,0.19125191251912518,59,0.13275132751327515,89,0.2002520025200252,0.04,54,0.12150121501215012,0.04,0.7257564575645756,C,,,
9,M,10656,83,0.18675186751867517,68,0.15300153001530015,88,0.1980019800198002,0.05,49,0.11025110251102511,0.04,0.7380064800648007,C,,,
10,F,11220,94,0.2115021150211502,88,0.1980019800198002,97,0.2182521825218252,0.05,73,0.16425164251642516,0.05,0.8920079200792008,B,,,
11,M,10966,89,0.2002520025200252,75,0.16875168751687517,96,0.21600216002160022,0.05,62,0.13950139501395015,0.05,0.8245072450724507,B,,,
12,F,09427,75,0.16875168751687517,37,0.08325083250832509,87,0.1957519575195752,0.05,42,0.0945009450094501,0.04,0.6322554225542255,D,,,
13,M,09746,87,0.1957519575195752,60,0.13500135001350014,85,0.19125191251912518,0.05,49,0.11025110251102511,0.05,0.7322563225632257,C,,,
14,F,10318,79,0.17775177751777518,44,0.0990009900099001,72,0.16200162001620017,0.04,66,0.14850148501485014,0.02,0.6472558725587256,C,,,
15,F,11433,91,0.2047520475204752,72,0.16200162001620017,88,0.1980019800198002,0.04,63,0.14175141751417514,0.03,0.7765070650706507,C,,,
16,F,10793,92,0.2070020700207002,74,0.16650166501665017,97,0.2182521825218252,0.05,71,0.15975159751597517,0.05,0.8515075150751508,B,,,
17,F,11836,0,0.0,84,0.1890018900189002,96,0.21600216002160022,0.05,80,0.18000180001800017,0.05,0.6850058500585006,C,,,
18,F,09987,73,0.16425164251642516,29,0.06525065250652506,73,0.16425164251642516,0.04,48,0.10800108001080011,0.04,0.5817550175501756,D,,,
19,F,11070,95,0.2137521375213752,81,0.1822518225182252,97,0.2182521825218252,0.05,66,0.14850148501485014,0.05,0.8627576275762757,B,,,
20,M,11197,100,0.22500225002250024,86,0.1935019350193502,96,0.21600216002160022,0.05,75,0.16875168751687517,0.04,0.8932580325803259,B,,,
21,M,10470,87,0.1957519575195752,47,0.1057510575105751,75,0.16875168751687517,0.05,46,0.1035010350103501,0.04,0.6637557375573756,C,,,
22,M,11308,96,0.21600216002160022,76,0.17100171001710018,94,0.2115021150211502,0.04,64,0.14400144001440016,0.04,0.8225074250742508,B,,,
23,F,09804,82,0.18450184501845018,38,0.08550085500855009,82,0.18450184501845018,0.05,59,0.13275132751327515,0.04,0.6772558725587257,C,,,
24,M,10436,79,0.17775177751777518,37,0.08325083250832509,78,0.17550175501755017,0.05,55,0.12375123751237513,0.03,0.6402556025560255,C,,,
25,M,09822,74,0.16650166501665017,27,0.06075060750607506,74,0.16650166501665017,0.05,46,0.1035010350103501,0.03,0.5772549725497256,D,,,
26,M,09031,10,0.022500225002250022,25,0.05625056250562506,73,0.16425164251642516,0.02,44,0.0990009900099001,0.03,0.39200342003420036,F,,,
27,F,10218,84,0.1890018900189002,36,0.08100081000810008,73,0.16425164251642516,0.04,58,0.13050130501305013,0.03,0.6347556475564756,D,,,
28,F,09759,73,0.16425164251642516,25,0.05625056250562506,72,0.16200162001620017,0.05,41,0.09225092250922509,0.04,0.5647547475474755,D,,,
29,M,08913,69,0.15525155251552517,27,0.06075060750607506,77,0.17325173251732517,0.01,35,0.07875078750787508,0.03,0.5080046800468004,D,,,
30,M,10513,87,0.1957519575195752,62,0.13950139501395015,90,0.2025020250202502,0.05,56,0.12600126001260012,0.03,0.7437566375663756,C,,,
"Mid-Term = 45% ;    Final = 45%,          C.P. (Class Participation) = 10%,       A= 100%-90%, B=89%-80%, C= 79%-65%, D= 64%-50%, F= Under 50%  ",,,,,,,,,,,,,,,,,
